Problem Type,Solution Method,Clustering Method,Number of Vehicles,Max Route Time,Max Route Time wo Turns,Total Route Time,Total Route Time wo Turns,Avg Route Time,Avg Route Time wo Turns,Std Dev Route Time,Std Dev Route Time wo Turns,Min Route Time,Min Route Time wo Turns,Range Route Time,Range Route Time wo Turns,Shortest Path Time(Sec),Balanced GP Time(Sec),Capacitated GP Time(Sec),Computational Time(Sec),VA(NHO),VA(ATD),VA(CCI),VA(DMT),VA(ROI),VA(AOI),Optimal,Lower Bound,MIP Gap
3,2,0,3,291.405,190.905,852.861,548.361,284.287,182.787,12.07,9.16337,270.351,172.851,21.0541,18.0541,0.013,0.635535,0.191,1.33607,0,20.9486,1.11765,90,0.184918,0.185234,1,-1,0
Vehicle No,Load No,Sequence No,Arc,From Node,To Node,Is Edge,Required,Demand,Traveling Cost,Service Cost,Driver's Service Cost,Served,Dumped,Turn Type,Turn Cost,Depart Time,Arrival Time,Visit No,Shape
0,2,23,0,24,14,1,1,20,1,2.9261,2.95536,0,0,Straight,0,264.851,265.851,1,LINESTRING(3.000000 2.000000	3.000000 1.000000)
0,2,24,126,14,4,1,0,0,1,0,0,0,0,Straight,0,265.851,266.851,1,LINESTRING(3.000000 1.000000	3.000000 0.000000)
0,2,25,116,4,3,1,0,0,1,0,0,0,0,Right,0.5,267.351,268.351,1,LINESTRING(3.000000 0.000000	2.000000 0.000000)
0,2,26,150,3,2,1,0,0,1,0,0,0,0,Straight,0,268.351,269.351,1,LINESTRING(2.000000 0.000000	1.000000 0.000000)
0,2,27,180,2,1,1,0,0,1,0,0,0,0,Straight,0,269.351,270.351,1,LINESTRING(1.000000 0.000000	0.000000 0.000000)
1,0,0,181,1,2,1,0,0,1,0,0,0,0,None,0,0,1,1,LINESTRING(0.000000 0.000000	1.000000 0.000000)
1,0,1,35,2,12,1,1,15,1,3.8119,4.34557,1,0,Left,2.5,3.5,7.84557,1,LINESTRING(1.000000 0.000000	1.000000 1.000000)
1,0,2,125,12,13,1,0,0,1,0,0,0,0,Right,0.5,8.34557,9.34557,1,LINESTRING(1.000000 1.000000	2.000000 1.000000)
1,0,3,33,13,14,1,1,20,1,2.9606,3.37508,1,0,Straight,0,9.34557,12.7206,1,LINESTRING(2.000000 1.000000	3.000000 1.000000)
1,0,4,23,14,15,1,1,10,1,2.4414,2.7832,1,0,Straight,0,12.7206,15.5038,1,LINESTRING(3.000000 1.000000	4.000000 1.000000)
1,0,5,130,15,5,1,0,0,1,0,0,0,0,Right,0.5,16.0038,17.0038,1,LINESTRING(4.000000 1.000000	4.000000 0.000000)
1,0,6,170,5,4,1,0,0,1,0,0,0,0,Right,0.5,17.5038,18.5038,1,LINESTRING(4.000000 0.000000	3.000000 0.000000)
1,0,7,127,4,14,1,0,0,1,0,0,0,0,Right,0.5,19.0038,20.0038,1,LINESTRING(3.000000 0.000000	3.000000 1.000000)
1,0,8,1,14,24,1,1,20,1,2.9261,3.33575,1,0,Straight,0,20.0038,23.3396,1,LINESTRING(3.000000 1.000000	3.000000 2.000000)
1,0,9,26,24,23,1,1,10,1,2.6796,3.05474,1,0,Left,2.5,25.8396,28.8943,1,LINESTRING(3.000000 2.000000	2.000000 2.000000)
1,0,10,40,23,22,1,1,5,1,2.7685,3.15609,1,0,Straight,0,28.8943,32.0504,1,LINESTRING(2.000000 2.000000	1.000000 2.000000)
1,0,11,172,22,21,1,0,0,1,0,0,0,0,Straight,0,32.0504,33.0504,1,LINESTRING(1.000000 2.000000	0.000000 2.000000)
1,0,12,113,21,31,1,0,0,1,0,0,0,0,Right,0.5,33.5504,34.5504,2,LINESTRING(0.000000 2.000000	0.000000 3.000000)
1,0,13,153,31,32,1,0,0,1,0,0,0,0,Right,0.5,35.0504,36.0504,2,LINESTRING(0.000000 3.000000	1.000000 3.000000)
